line,tipo,data_ocorrencia,endereco,latitude,longitude
457,Homicidio,13/02/2017,"RUA PADRE SABOIA DE MEDEIROS, 39 VILA MARIA - 02134000 S.PAULO SP",-23.5004419,-46.5896541
458,Homicidio,17/02/2017,"RUA CAROLINA SOARES, 398 LIMAO - 02554000 S.PAULO SP",-23.5007432,-46.6695376
462,Homicidio,13/02/2017,"RUA PADRE SABOIA DE MEDEIROS, 39 VILA MARIA - 02134000 S.PAULO SP",-23.5004419,-46.5896541
463,Homicidio,26/02/2017,"RUA JOSE FRANK, 103 PEDREIRA - 04431100 S.PAULO SP",-23.6894517,-46.6535861
464,Homicidio,26/02/2017,"RUA JOSE FRANK, 103 PEDREIRA - 04431100 S.PAULO SP",-23.6894517,-46.6535861
468,Homicidio,19/02/2017,"RUA OCTACILIO DIAS FERNANDES, 500 VILA CURUCA - 08161500 S.PAULO SP",-23.5114351,-46.4120037
472,Homicidio,15/02/2017,"RUA ANTONIO TELES, 100 SAO RAFAEL - 08330060 S.PAULO SP",-23.6165457,-46.4751171
473,Homicidio,15/02/2017,"AVENIDA ARICANDUVA, 12000 PARQUE DO CARMO - - S.PAULO SP",-23.5930695,-46.4696851
474,Homicidio,15/02/2017,"AVENIDA ARICANDUVA, 12000 PARQUE DO CARMO - - S.PAULO SP",-23.5930695,-46.4696851
475,Homicidio,16/02/2017,"RUA FORTE DE SANTO ANTONIO, 78 JARDIM ANGELA - 04945230 S.PAULO SP",-23.7167325,-46.7811724
476,Homicidio,25/02/2017,"RUA BANDEIRA PAULISTA, 510 ITAIM BIBI - 04532011 S.PAULO SP",-23.5838356,-46.6759036
477,Homicidio,28/02/2017,"RUA JUVIA, 100 SAO MIGUEL - 08042460 S.PAULO SP",-23.5081384,-46.4322224
478,Homicidio,28/02/2017,"RUA JUVIA, 100 SAO MIGUEL - 08042460 S.PAULO SP",-23.5081384,-46.4322224
479,Homicidio,17/02/2017,"RUA MIGUEL DAMASCENO, 131 JD SAO LUIS - 05820180 S.PAULO SP",-23.6670175,-46.742714
480,Homicidio,18/02/2017,"RUA DOMENICO CORVI, 1 JARDIM ANGELA - 05870120 S.PAULO SP",-23.6823447,-46.772534
481,Homicidio,18/02/2017,"AVENIDA MARIA COELHO AGUIAR, 1258 JD SAO LUIS - 05805000 S.PAULO SP",-23.655199,-46.7358944
482,Homicidio,23/02/2017,"RUA PLACIDO PARREIRA LIMA, 748 VILA CURUCA - 08151110 S.PAULO SP",-23.5205447,-46.4078149
483,Homicidio,20/02/2017,"AVENIDA MBOI GUACU, 883 JARDIM ANGELA - 04949000 S.PAULO SP",-23.722614,-46.7728594
484,Homicidio,20/02/2017,"RUA MARCO BASAITI, 0 CAPAO REDONDO - 05869250 S.PAULO SP",-23.6751308,-46.7722765
485,Homicidio,26/02/2017,"RUA ANTONIO FELIPE FILHO, 180 GRAJAU - 04845000 S.PAULO SP",-23.7498423,-46.6897026
486,Homicidio,26/02/2017,"RUA PEIXOTO GOMIDE, 74 CONSOLACAO - 01409001 S.PAULO SP",-23.5545732,-46.655587
487,Homicidio,23/02/2017,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 19029 TREMEMBE - 02368000 S.PAULO SP",-23.4727845,-46.6072818
488,Homicidio,23/02/2017,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 19029 TREMEMBE - 02368000 S.PAULO SP",-23.4727845,-46.6072818
489,Homicidio,22/02/2017,"RUA DAS IMBIRAS, 206 TREMEMBE - 02316000 S.PAULO SP",-23.464372,-46.5960492
492,Homicidio,23/02/2017,"RUA PAULO SERGIO COSTABILE - CEBOLA, 19 JD SAO LUIS - 04918285 S.PAULO SP",-23.6862323,-46.7377316
493,Homicidio,23/02/2017,"TRAVESSA TERRA TOMBADA, 0 IGUATEMI - 08344600 S.PAULO SP",-23.6101946,-46.4518653
495,Homicidio,26/02/2017,"PRACA ENGENHEIRO HUGO BRANDI, 15 VILA MARIA - 02168050 S.PAULO SP",-23.5168548,-46.5783871
496,Homicidio,26/02/2017,"RUA PADRE LINDOLFO ESTEVES, 4 JARDIM ANGELA - 04945210 S.PAULO SP",-23.7146767,-46.7818753
497,Homicidio,27/02/2017,"RUA ADOLFO SALDIAS, 13 JARDIM ANGELA - 04932420 S.PAULO SP",-23.6816553,-46.7605589
499,Homicidio,28/02/2017,"ESTRADA DE ITAPECERICA, 1661 JD SAO LUIS - 05835000 S.PAULO SP",-23.6485499,-46.7491643
503,Homicidio,25/02/2017,"RUA GALENO DE CASTRO, 279 CAMPO GRANDE - 04696040 S.PAULO SP",-23.6713841,-46.7014485
2,Homicidio,15/03/2017,"RUA DA CONSOLACAO, 400 REPUBLICA - 01301000 S.PAULO SP",-23.54792,-46.6425981
23,Homicidio,02/03/2017,"AVENIDA PRESIDENTE WILSON, 3100 IPIRANGA - 04220000 S.PAULO SP",-23.5800524,-46.5989258
24,Homicidio,02/03/2017,"RUA PEDRO FLAMENGO, 81 JD SAO LUIS - 05844195 S.PAULO SP",-23.6596777,-46.7409023
25,Homicidio,02/03/2017,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, 6000 PIRITUBA - - S.PAULO SP",-23.4806478,-46.7253106
26,Homicidio,02/03/2017,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, 6000 PIRITUBA - - S.PAULO SP",-23.4806478,-46.7253106
27,Homicidio,06/03/2017,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 28000 TREMEMBE - 02368000 S.PAULO SP",-23.4547149,-46.6021654
28,Homicidio,07/03/2017,"RUA LOUIS DAQUIN, 171 GRAJAU - 04843070 S.PAULO SP",-23.739252,-46.696138
30,Homicidio,08/03/2017,"RODOVIA BR 381, 78 TREMEMBE - - S.PAULO SP",-23.3987927,-46.5763456
31,Homicidio,09/03/2017,"AVENIDA GENERAL ASDRUBAL DA CUNHA, 1411 RAPOSO TAVARES - 05565000 S.PAULO SP",-23.5925409,-46.7898459
32,Homicidio,10/03/2017,"RUA CAVALHEIRO, 169 BRAS - 03050010 S.PAULO SP",-23.5429178,-46.6147524
33,Homicidio,10/03/2017,"RUA TAPINHUAU, 23 LAJEADO - 08441470 S.PAULO SP",-23.5402712,-46.421177
34,Homicidio,11/03/2017,"RUA GLICERIO RODRIGUES, 50 VILA JACUI - 08062140 S.PAULO SP",-23.5073437,-46.4769168
35,Homicidio,13/03/2017,"RUA BICICLETA, 32 VILA MARIA - 02169060 S.PAULO SP",-23.5167388,-46.5741069
37,Homicidio,13/03/2017,"RUA CHUVAS DE VERAO, 20 JOSE BONIFACIO - 08421570 S.PAULO SP",-23.5652123,-46.4236504
39,Homicidio,15/03/2017,"RUA CONSTANTINO GOMES, 1 ITAIM PAULISTA - 08141250 S.PAULO SP",-23.5145798,-46.3907348
43,Homicidio,16/03/2017,"TRAVESSA TERRA TOMBADA, 1 IGUATEMI - 08344600 S.PAULO SP",-23.6101904,-46.45187
47,Homicidio,22/03/2017,"RUA DOUTOR LUIZ AYRES, 3700 ITAQUERA - 03568000 S.PAULO SP",-23.5433982,-46.469944
48,Homicidio,23/03/2017,"RUA RECANTO DO SOL, 87 IGUATEMI - 08382340 S.PAULO SP",-23.6132642,-46.4229022
51,Homicidio,24/03/2017,"RUA JUVENAL DE JERUSALEM, 262 GRAJAU - 04859060 S.PAULO SP",-23.7656831,-46.7068754
82,Homicidio,06/03/2017,"RUA BUTIA, 175 AGUA RASA - 03346010 S.PAULO SP",-23.5598134,-46.5714823
83,Homicidio,06/03/2017,"RUA BUTIA, 175 AGUA RASA - 03346010 S.PAULO SP",-23.5598134,-46.5714823
84,Homicidio,06/03/2017,"RUA BUTIA, 175 AGUA RASA - 03346010 S.PAULO SP",-23.5598134,-46.5714823
