"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"12181",2003,6270,"Roubo de Veículo","22/06/2003","A TARDE","Nao","RUA JOSE QUEIROZ MATOS, 0 JD GRIMALDE - nan S.PAULO SP",-23.5982659,-46.5156464
"12182",2003,6226,"Roubo de Veículo","26/06/2003","A NOITE","Nao","EST MAUA E ADUTORA RIO CLARO, 3000 JD IPE - nan MAUA SP",-23.646831,-46.4535989
"12183",2003,4147,"Roubo de Veículo","26/06/2003","A NOITE","Nao","R RAMIRO DE SANTA CRUZ ABREU, 168 JD BONFIGLIOLI - nan S.PAULO SP",-23.577419,-46.740549
"12184",2003,6227,"Roubo de Veículo","26/06/2003","A NOITE","Nao","R GIOVANNI BATTISTA PIRELLI, 0 CENTRO - nan S.ANDRE SP",-23.6636508,-46.5073907
"12185",2003,3711,"Roubo de Veículo","27/06/2003","DE MADRUGADA","Nao","R DEPUTADO EMILIO CARLOS, 0 VILA CAPESINA - nan OSASCO SP",-23.5469459,-46.7620999
"12186",2003,1264,"Roubo de Veículo","27/06/2003","DE MADRUGADA","Nao","RODOVIA ANHANGUERA KM42, 0 JORDANESIA - 07760000 CAJAMAR SP",-23.3348798,-46.8368765
"12187",2003,1264,"Roubo de Veículo","27/06/2003","DE MADRUGADA","Nao","RODOVIA ANHANGUERA KM42, 0 JORDANESIA - 07760000 CAJAMAR SP",-23.3348798,-46.8368765
"12188",2003,3237,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","EST AGUA CHATA, 2000 JARDIM NORMANDIA - nan GUARULHOS SP",-23.4474514,-46.3999991
"12189",2003,2587,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R ILIRIA, 388 MOINHO VELHO - 04284060 S.PAULO SP",-23.608206,-46.6033618
"12190",2003,1120,"Roubo de Veículo","27/06/2003","DE MADRUGADA","Nao","AV BENEDITA FRANCO DA VEIGA, 2985 BAIRRO FEITAL - nan MAUA SP",-23.6569187,-46.4240375
"12191",2003,516,"Roubo de Veículo","27/06/2003","DE MADRUGADA","Nao","NOVA INDEPENDENCIA, 0 JD. ANA ESTELA - nan CARAPICUIBA SP",-23.56359,-46.843639
"12192",2003,3112,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12193",2003,3112,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12194",2003,1642,"Roubo de Veículo","26/06/2003","A NOITE","Nao","R NOVE, 121 PQ RODRIGO BARRETO - 07400000 ARUJA SP",-23.3855617,-46.3298081
"12195",2003,459,"Roubo de Veículo","27/06/2003","A TARDE","Nao","ESTRADA DOS FISCHER, 118 JARDIM DAS OLIVEIRAS - 06850000 ITAPECERICA DA SERRA SP",-23.7613371,-46.8163791
"12196",2003,7428,"Roubo de Veículo","27/06/2003","A TARDE","Nao","R PRINCESA FRANCISCA CAROLINA, 0 NOVA PETROPOLIS - nan S.BERNARDO DO CAMPO SP",-23.7026399,-46.5428227
"12197",2003,3126,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12198",2003,3126,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12199",2003,1333,"Roubo de Veículo","24/06/2003","PELA MANHA","Nao","AV. GILBERTO DINI, 660 BOM CLIMA - nan GUARULHOS SP",-23.4508953,-46.5158406
"12200",2003,1333,"Roubo de Veículo","24/06/2003","PELA MANHA","Nao","AV. GILBERTO DINI, 660 BOM CLIMA - nan GUARULHOS SP",-23.4508953,-46.5158406
"12201",2003,3127,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12202",2003,3127,"Roubo de Veículo","27/06/2003","PELA MANHA","Nao","R GUAIASES, 74 VILA JOAO JORGE - 13035450 CAMPINAS SP",-22.9199497,-47.0594453
"12203",2003,5924,"Roubo de Veículo","26/06/2003","A NOITE","Nao","AV CAPITAO CASA, 0 BAIRRO DOS CASAS - nan S.BERNARDO DO CAMPO SP",-23.7265955,-46.562778
